Cohort,Customers,0-6 days,7-13 days,14-20 days,21-27 days,28-34 days,35-41 days,42-48 days,49-55 days,56-62 days,63-69 days,70-76 days,77-83 days,84-90 days,91-97 days,98-104 days,105-111 days,112-118 days,119-125 days,126-132 days,133-139 days
12/31/14 - 01/06/15,277 costumers,"11.55% costumers (32)
11.55% 1st time (32)","5.05% costumers (14)
2.17% 1st time (6)","4.33% costumers (12)
0.72% 1st time (2)","3.61% costumers (10)
0.36% 1st time (1)","4.33% costumers (12)
1.08% 1st time (3)","2.17% costumers (6)
0.00% 1st time (0)","2.17% costumers (6)
0.36% 1st time (1)","2.89% costumers (8)
0.00% 1st time (0)","2.53% costumers (7)
0.36% 1st time (1)","1.08% costumers (3)
0.00% 1st time (0)","1.81% costumers (5)
0.00% 1st time (0)","2.53% costumers (7)
0.72% 1st time (2)","1.81% costumers (5)
0.00% 1st time (0)","1.81% costumers (5)
0.36% 1st time (1)","2.17% costumers (6)
0.36% 1st time (1)","2.53% costumers (7)
0.00% 1st time (0)","1.08% costumers (3)
0.00% 1st time (0)","2.53% costumers (7)
0.00% 1st time (0)","2.89% costumers (8)
0.36% 1st time (1)","1.08% costumers (3)
0.00% 1st time (0)"
01/07/15 - 01/13/15,2113 costumers,"9.99% costumers (211)
9.99% 1st time (211)","6.53% costumers (138)
4.07% 1st time (86)","4.64% costumers (98)
1.85% 1st time (39)","4.78% costumers (101)
1.09% 1st time (23)","4.12% costumers (87)
1.04% 1st time (22)","3.83% costumers (81)
0.71% 1st time (15)","3.88% costumers (82)
0.71% 1st time (15)","4.31% costumers (91)
0.76% 1st time (16)","4.16% costumers (88)
0.99% 1st time (21)","3.74% costumers (79)
0.62% 1st time (13)","2.51% costumers (53)
0.14% 1st time (3)","2.98% costumers (63)
0.33% 1st time (7)","3.22% costumers (68)
0.24% 1st time (5)","2.93% costumers (62)
0.33% 1st time (7)","3.45% costumers (73)
0.28% 1st time (6)","3.64% costumers (77)
0.62% 1st time (13)","2.74% costumers (58)
0.24% 1st time (5)","2.98% costumers (63)
0.33% 1st time (7)","2.74% costumers (58)
0.19% 1st time (4)","2.93% costumers (62)
0.14% 1st time (3)"
01/14/15 - 01/20/15,865 costumers,"16.88% costumers (146)
16.88% 1st time (146)","7.51% costumers (65)
3.70% 1st time (32)","5.43% costumers (47)
1.85% 1st time (16)","3.47% costumers (30)
0.69% 1st time (6)","4.97% costumers (43)
1.04% 1st time (9)","4.74% costumers (41)
0.46% 1st time (4)","6.36% costumers (55)
1.39% 1st time (12)","4.74% costumers (41)
0.58% 1st time (5)","5.20% costumers (45)
0.92% 1st time (8)","3.58% costumers (31)
0.35% 1st time (3)","4.05% costumers (35)
0.23% 1st time (2)","3.82% costumers (33)
0.00% 1st time (0)","4.05% costumers (35)
0.46% 1st time (4)","4.28% costumers (37)
0.35% 1st time (3)","3.82% costumers (33)
0.23% 1st time (2)","4.62% costumers (40)
0.23% 1st time (2)","3.35% costumers (29)
0.46% 1st time (4)","4.28% costumers (37)
0.12% 1st time (1)","3.47% costumers (30)
0.58% 1st time (5)","4.05% costumers (35)
0.12% 1st time (1)"
01/21/15 - 01/27/15,1342 costumers,"17.44% costumers (234)
17.44% 1st time (234)","7.90% costumers (106)
4.62% 1st time (62)","5.37% costumers (72)
1.79% 1st time (24)","4.99% costumers (67)
1.56% 1st time (21)","5.59% costumers (75)
1.42% 1st time (19)","6.04% costumers (81)
1.86% 1st time (25)","4.84% costumers (65)
1.12% 1st time (15)","5.07% costumers (68)
0.82% 1st time (11)","4.77% costumers (64)
0.67% 1st time (9)","4.32% costumers (58)
0.37% 1st time (5)","4.55% costumers (61)
0.45% 1st time (6)","4.47% costumers (60)
0.75% 1st time (10)","4.40% costumers (59)
0.60% 1st time (8)","4.47% costumers (60)
0.89% 1st time (12)","3.50% costumers (47)
0.60% 1st time (8)","3.58% costumers (48)
0.22% 1st time (3)","4.32% costumers (58)
0.52% 1st time (7)","3.43% costumers (46)
0.22% 1st time (3)","3.95% costumers (53)
0.22% 1st time (3)","4.25% costumers (57)
0.37% 1st time (5)"
01/28/15 - 02/03/15,563 costumers,"20.07% costumers (113)
20.07% 1st time (113)","7.64% costumers (43)
2.84% 1st time (16)","6.39% costumers (36)
2.13% 1st time (12)","4.97% costumers (28)
1.42% 1st time (8)","6.39% costumers (36)
1.42% 1st time (8)","5.15% costumers (29)
1.60% 1st time (9)","6.22% costumers (35)
1.24% 1st time (7)","5.15% costumers (29)
0.71% 1st time (4)","4.44% costumers (25)
0.00% 1st time (0)","4.26% costumers (24)
0.18% 1st time (1)","5.33% costumers (30)
0.53% 1st time (3)","4.80% costumers (27)
0.36% 1st time (2)","5.33% costumers (30)
0.18% 1st time (1)","4.09% costumers (23)
0.53% 1st time (3)","4.09% costumers (23)
0.18% 1st time (1)","4.09% costumers (23)
0.53% 1st time (3)","5.86% costumers (33)
0.71% 1st time (4)","4.09% costumers (23)
0.18% 1st time (1)","3.91% costumers (22)
0.36% 1st time (2)","4.09% costumers (23)
0.18% 1st time (1)"
02/04/15 - 02/10/15,487 costumers,"18.69% costumers (91)
18.69% 1st time (91)","6.16% costumers (30)
2.87% 1st time (14)","5.95% costumers (29)
1.64% 1st time (8)","5.13% costumers (25)
0.82% 1st time (4)","4.31% costumers (21)
0.41% 1st time (2)","4.52% costumers (22)
0.82% 1st time (4)","4.31% costumers (21)
0.62% 1st time (3)","3.49% costumers (17)
0.00% 1st time (0)","4.31% costumers (21)
0.41% 1st time (2)","4.31% costumers (21)
0.41% 1st time (2)","3.70% costumers (18)
0.21% 1st time (1)","4.72% costumers (23)
0.62% 1st time (3)","5.13% costumers (25)
1.23% 1st time (6)","4.52% costumers (22)
0.21% 1st time (1)","4.93% costumers (24)
0.21% 1st time (1)","3.70% costumers (18)
0.00% 1st time (0)","3.29% costumers (16)
0.21% 1st time (1)","3.49% costumers (17)
0.21% 1st time (1)","4.72% costumers (23)
0.41% 1st time (2)","3.49% costumers (17)
0.00% 1st time (0)"
02/11/15 - 02/17/15,440 costumers,"15.00% costumers (66)
15.00% 1st time (66)","6.14% costumers (27)
2.50% 1st time (11)","5.91% costumers (26)
2.50% 1st time (11)","4.77% costumers (21)
0.68% 1st time (3)","4.32% costumers (19)
0.91% 1st time (4)","2.73% costumers (12)
0.00% 1st time (0)","3.86% costumers (17)
0.68% 1st time (3)","4.32% costumers (19)
0.91% 1st time (4)","2.95% costumers (13)
0.23% 1st time (1)","3.86% costumers (17)
0.00% 1st time (0)","4.09% costumers (18)
0.45% 1st time (2)","2.73% costumers (12)
0.00% 1st time (0)","3.64% costumers (16)
0.45% 1st time (2)","2.27% costumers (10)
0.45% 1st time (2)","2.95% costumers (13)
0.00% 1st time (0)","4.32% costumers (19)
0.23% 1st time (1)","3.41% costumers (15)
0.68% 1st time (3)","2.05% costumers (9)
0.00% 1st time (0)","3.41% costumers (15)
0.45% 1st time (2)","4.09% costumers (18)
0.45% 1st time (2)"
02/18/15 - 02/24/15,432 costumers,"19.91% costumers (86)
19.91% 1st time (86)","7.18% costumers (31)
2.55% 1st time (11)","6.94% costumers (30)
1.16% 1st time (5)","6.71% costumers (29)
0.93% 1st time (4)","5.32% costumers (23)
1.16% 1st time (5)","5.79% costumers (25)
1.16% 1st time (5)","4.86% costumers (21)
0.23% 1st time (1)","5.09% costumers (22)
0.46% 1st time (2)","3.94% costumers (17)
0.00% 1st time (0)","5.56% costumers (24)
0.46% 1st time (2)","3.47% costumers (15)
0.46% 1st time (2)","5.56% costumers (24)
0.00% 1st time (0)","4.86% costumers (21)
0.00% 1st time (0)","4.40% costumers (19)
0.23% 1st time (1)","4.40% costumers (19)
0.00% 1st time (0)","4.40% costumers (19)
0.00% 1st time (0)","5.56% costumers (24)
0.23% 1st time (1)","5.09% costumers (22)
0.00% 1st time (0)","4.40% costumers (19)
0.00% 1st time (0)","2.31% costumers (10)
0.23% 1st time (1)"
02/25/15 - 03/03/15,2041 costumers,"10.53% costumers (215)
10.53% 1st time (215)","3.92% costumers (80)
1.32% 1st time (27)","3.38% costumers (69)
1.13% 1st time (23)","2.60% costumers (53)
0.64% 1st time (13)","3.14% costumers (64)
0.64% 1st time (13)","2.40% costumers (49)
0.34% 1st time (7)","2.79% costumers (57)
0.44% 1st time (9)","2.50% costumers (51)
0.24% 1st time (5)","2.69% costumers (55)
0.39% 1st time (8)","2.84% costumers (58)
0.59% 1st time (12)","2.06% costumers (42)
0.29% 1st time (6)","2.65% costumers (54)
0.24% 1st time (5)","1.76% costumers (36)
0.15% 1st time (3)","2.20% costumers (45)
0.10% 1st time (2)","1.76% costumers (36)
0.15% 1st time (3)","2.20% costumers (45)
0.20% 1st time (4)","2.25% costumers (46)
0.39% 1st time (8)","2.40% costumers (49)
0.20% 1st time (4)","0.64% costumers (13)
0.10% 1st time (2)",
03/04/15 - 03/10/15,1453 costumers,"10.94% costumers (159)
10.94% 1st time (159)","4.54% costumers (66)
1.45% 1st time (21)","3.37% costumers (49)
1.10% 1st time (16)","2.75% costumers (40)
0.48% 1st time (7)","3.51% costumers (51)
0.62% 1st time (9)","2.55% costumers (37)
0.14% 1st time (2)","2.55% costumers (37)
0.28% 1st time (4)","2.82% costumers (41)
0.28% 1st time (4)","3.44% costumers (50)
0.28% 1st time (4)","2.55% costumers (37)
0.21% 1st time (3)","2.41% costumers (35)
0.14% 1st time (2)","2.00% costumers (29)
0.21% 1st time (3)","2.68% costumers (39)
0.14% 1st time (2)","2.55% costumers (37)
0.07% 1st time (1)","2.48% costumers (36)
0.34% 1st time (5)","2.55% costumers (37)
0.14% 1st time (2)","2.75% costumers (40)
0.21% 1st time (3)","0.76% costumers (11)
0.07% 1st time (1)",,
